,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,11,13.8311959336643,-2.85930977079897,-6.60759495906586,-12.6290552931678,-4.32977567638409,-7.61465958182725,-2.04493029271089,-5.87367246770555,-12.9791931254404,12.7779111891896,11.2275854866275,-1.65905572549946,-6.61060497062408,1.65414830378541,-6.1178135035052,-5.78952416143875,-4.6482578669129,-3.50808130882706,-8.00213536241699,-38.5791890471974,-7.85455688193179,0.788356077914614,-4.9641740009256,-1.07701157279553,-8.28848007671331,-15.3357362309125,-9.09808145328589,-4.99342897013412,-7.67028749823749,-7.17653929585231,-9.16185733683506,-9.07884811170698,-2.75895454985493,-2.25806623430617,-4.89757836905665,-9.16127527044409,-6.61363507210081,-9.77758116925997,-6.70492153965824,3.05051551681117,-4.14083172909523,-7.17212910930721,-4.37534357643653,-8.67165756473332,-13.7080989293027,9.37419730609508,11.3322006741128,8.01233497328121
,12,-2.57650536029541,-7.20897100079583,-9.78713572964352,-17.7747477651874,-11.8458601953835,-7.66752349024046,-5.72388955313909,-10.8042279262572,-17.2760951143919,3.73255200479707,9.31075058212173,-4.01909140116459,-8.43460022139425,-0.980520185378737,-7.8007751905734,-10.8201017263218,-5.65590471008272,-3.32830606947664,-8.75038484952165,17.0406387176699,-15.3520041070933,-2.19586286385675,-6.56103996695401,-6.55815075506143,-10.2411550209872,-20.2437814024488,-11.1198914904126,-14.7320368861365,-15.7649333493882,-17.4200973182669,-13.2845914577492,-12.1047974650564,-17.1083914335086,-8.94187516262991,-10.8567591850133,-10.1446951528014,-4.41157305127399,-9.22816480288748,-12.0733893848837,-8.4235494515633,-10.5210867948599,-10.108475975253,-17.6686929655116,-10.1690305792563,-15.5801011967314,8.94436276703254,3.20134783213962,2.75519843589154
,13,-14.6136113289822,-8.22540711421971,-13.4848194686947,-15.5274120394697,-12.7299414011013,-5.67492252787724,-14.7309661749359,-14.006475375063,-16.7155948534228,-1.13957773911261,8.38661585055615,-13.9283445357923,-6.76825511057814,-2.42356818763346,-11.6462850054586,-11.8980249288006,-8.04913486441728,-11.0004223698097,-7.03403843257729,22.5384232535807,-12.4976625276076,-8.83805681635386,-7.51822911401268,-13.1211979950194,-12.1338297786242,-24.7907334956853,-14.1342900754453,-15.8550991377269,-18.9501532754784,-21.4652284476642,-13.8250571779718,-21.0646262386708,-23.6435729793602,-15.462180939111,-18.4535940437527,-6.08738494100362,-6.8952199371397,-14.7419075812031,-8.53637600001457,-10.9785809794084,-6.03957936137704,-16.3764810402863,-15.0499488699006,-7.92593715620569,-22.832867825924,10.5329630835304,2.72756538525664,3.8555027601933
,14,-22.6866463653323,-15.3189014464515,-15.1647913024508,-19.1998875732033,-13.9480373542901,-4.16140099535551,-7.41997535544579,-16.0054259778572,-12.0593621953485,7.96808866316587,8.25966547238113,-18.2181722804289,-8.78571527802524,-9.43308799464558,-12.5521146194733,-19.0432499124026,-7.91042599210869,-13.1850961232603,-3.29831648002437,26.9664874867995,-10.0562638434594,-11.7411467526963,-11.6744554385205,-14.537289700268,-10.6270681101687,-23.7819854178488,-8.32016403697162,-18.2977719873788,-21.5243218609912,-22.5326715620577,-15.1991144018766,-15.8344064115608,-17.6710722013231,-13.8643309175295,-19.3895269457098,-11.2863995665048,-13.1683851306234,-15.8734932584784,-9.2769228003317,-15.5098889059554,-12.0503468367806,-19.7699721220333,-17.2473843339849,-4.94029701633463,-25.6616046676845,9.58010993022981,6.74371653266917,6.26297728614918
,15,-19.0415206515099,-10.0912458649173,-10.4239722782877,-13.3093995593599,-12.3603589492232,-4.54630423517119,-9.86759171331323,-11.5570477817819,-8.08079859243117,5.64547924938597,3.03772524176929,-7.22928667709857,-5.39551892382315,-10.5993941654287,-15.0283430065556,-6.41226863865904,-6.24062160246558,-7.09470798254642,5.03134708442212,29.42974385035,-6.10984745371752,-9.74630031098604,-19.3473076989048,-15.8690572528349,-0.0205625207163394,-18.6017931538008,-2.50132905969986,-13.5463207815319,-16.5334087831279,-14.7482319950304,-12.4662573272535,-12.042918588555,-13.9136600126985,-18.3979029628581,-18.7580013044462,-10.8302480733655,-11.0629147727559,-17.6537658809393,-10.7331835254226,-16.8163178450177,-12.2051631044496,-13.143529401902,-15.4561788427618,-2.97181920207186,-18.3632521830932,8.21283619413316,5.15211319873015,-0.324432407588574
,16,-8.44722479329994,-9.8077548138217,-10.4421689512183,-9.44541010695048,-11.8265848998526,9.02310337602194,-8.95405079887951,-5.46797772461014,-4.76189157083354,2.52245956373372,2.62671628315911,-4.73218429361896,-2.57387399952768,-4.4748480863218,-5.6270404291854,-8.9264267153203,-6.67669643214413,-6.10876195841138,31.3771776279409,49.6347424496389,11.4368543403743,-11.4629464535756,-17.4680365760123,-20.8043667580068,5.94818849145759,-10.1748153516182,10.2180280084731,-6.46713275361617,-3.9344774967376,-9.43571911039817,-5.76569072702296,-7.25632377052807,-7.85775034427843,-6.5441326234768,-8.12120138938735,-5.64114175624945,-6.30531334603074,-3.5202888200447,-10.5221961236884,-3.10102918335997,-4.46356075712538,-9.38301500273337,-8.36972692268228,2.77936217614479,-4.16777285007083,9.68356350434988,8.2136196694164,0.143003820114245
,17,9.98399973772939,10.6009594257594,11.2814169408866,16.304915161003,10.3578022956763,34.4128569329014,7.99904073773723,13.0705974961083,12.9536099152929,25.5684482175202,15.9922821547361,8.57077663931977,9.12350937033989,5.67634447911132,9.95624798380322,10.8555137278427,7.71679136135754,5.69858000484965,66.8745925725907,97.9178503959029,50.6080385277801,-15.3038901882483,-19.13312552774,-13.6831504002075,36.4159949903551,21.8597431765993,40.024064395403,16.6210836696828,15.3965892205069,20.7851285862243,13.778766514065,13.9249181775403,16.206717204288,14.8951093529931,15.5929439085776,7.15836801183832,15.6475126287423,16.7139904685864,12.6007773838737,13.4309653914925,18.4748083519571,20.2338267484938,19.526024331416,35.3201038041198,17.0631915305275,8.50115760093468,12.4337248222664,6.27756562348713
,18,45.9099704965074,44.1410978112517,49.1838265281222,63.6352969358786,52.5858649833945,81.1739142746992,42.6951381644822,54.5709966569984,61.8576460004724,46.7493190934229,37.3748304831843,40.8541398542529,31.1648827593908,27.9317807406069,48.3423570954374,50.0485308771295,32.6503406559232,34.4870779709372,148.754131001979,185.44598233847,130.037770441206,-6.04072321727108,-13.21434514675,-18.3642666755732,90.9757190202599,79.5362569706867,94.6989881407917,59.4525277422899,61.8684362379927,65.0450845774603,52.7884396017962,56.8579011141774,59.4881409371183,50.4227213645481,61.5582759598983,40.0810548928803,41.7924639437106,55.456051974681,46.9349426389354,40.2269606247619,34.5258008549999,52.2537635027629,60.9199802149433,86.6817567325597,72.3481630376546,6.34619812819437,-1.06235021475732,-0.94073068117541
,19,133.283830077356,118.786213545595,119.899405804769,160.485386855887,132.39654125879,193.617850012596,121.769321253539,143.998500698356,151.578310573129,111.413338190011,96.458397471878,94.4880352222099,81.3262658767298,68.3314934732825,111.893202776982,129.311018520105,78.7779801375864,89.0038509643509,314.823374173661,378.401688152663,278.500700836191,10.9823223794538,-5.73813118882936,-2.90442157384496,201.506486472979,202.882098762766,213.044832783981,159.646239616325,165.033629544045,166.534781097522,140.408637060613,147.80942731294,157.358634988494,140.304733281169,150.179511131946,107.58990401363,116.009215749813,144.423646291288,124.857453768456,108.89094024422,101.080305126979,144.938439108881,172.464710694001,194.670567568227,186.25948558433,11.0986153771955,6.64692928942986,4.88569681569606
,20,281.647410522313,248.467182791695,260.080757306098,345.463078141466,295.342938587813,377.158513101641,258.770740198961,299.160144191332,312.895060151834,227.221896057765,194.398395668341,204.563487501967,180.161882784711,151.649153523857,245.670503012881,277.735268395301,175.670803404215,188.488912559808,613.749667180189,714.256630344164,550.004470740663,41.8901601989955,18.0788882215675,20.3270271800493,411.29926111857,438.515273461997,431.206302698513,335.759634996234,344.474382385118,352.646309434237,292.486991187067,316.941551884221,338.141472862072,290.64901070979,326.721128621254,227.965595203045,245.932006603515,309.126828470146,269.067111047083,236.888455988598,219.436623975007,302.934991581369,360.757308510018,398.033229779684,396.671844924795,5.90569137907642,5.52884133521729,4.38280375582599
,21,585.201911735016,486.982121344186,519.66323234161,691.86234577759,605.068973902554,742.148720827522,518.696297721418,609.183281165861,612.327469904962,437.921097131913,397.609639362244,408.674497567307,360.940690345122,315.595115235987,500.034352430776,555.591079187592,358.829147806207,384.255787379359,1167.67513062171,1338.95459443553,1065.79579438289,94.8871839203111,65.9831485415016,69.434837684239,804.619461429823,875.197017911815,843.027887603506,682.757039347088,684.297819688289,708.616199952164,594.684636693189,635.375558957662,680.659864121999,598.458739964985,668.966629868511,459.58036833446,506.361859693462,626.839180454785,547.411493431971,486.468242192354,446.732151871219,631.75024471604,738.64983834931,777.941760827157,794.463166989809,3.57319163005741,-0.10205238240178,-0.148415119758283
,22,1129.45513424759,955.418043907168,1012.40159557767,1327.06674837626,1170.5954341135,1389.54414835377,1009.18610106511,1175.57207245191,1186.77789735316,824.049372723806,768.733246244021,801.329874697999,691.071069233772,616.209799263824,972.659672171063,1077.62777052071,696.387210618837,750.877403990748,2102.92206063894,2373.58747014106,1953.33834001966,218.743314746711,160.826149347933,165.966334033351,1512.71552176047,1667.26761287832,1592.24552001324,1315.57583319959,1313.65951312995,1350.8944511773,1165.24602776185,1221.54636121422,1319.5672497961,1166.17103888207,1298.00782869655,905.372018654182,987.053278588885,1201.98246512705,1058.91083006513,952.117543839918,869.487888360195,1224.85697211782,1407.55552495239,1476.76792571787,1500.89278035071,5.18846042055884,1.01376627419813,5.99767488787438
,23,2053.33044684562,1759.15786195363,1851.6142034178,2378.34894987445,2143.15974521569,2475.75530412554,1853.28864946426,2148.2754892374,2134.43594929678,1478.77900471669,1407.98642821851,1492.0039459283,1293.22399788673,1175.12450341813,1775.10930488454,1966.72208102491,1313.90561918383,1400.52122334702,3488.2724346582,3873.70006773999,3298.72796830535,445.891766217677,346.947409421853,342.840588361344,2677.3437977446,2966.10169518668,2813.43833154653,2374.64449809344,2356.72319780713,2431.44960336649,2109.51576762138,2209.98180419818,2389.8134197938,2135.47761806868,2367.74368846527,1689.55452698001,1812.64286824565,2156.56326148637,1939.01726862038,1754.83117287154,1614.75913438472,2208.87356471095,2523.13687425932,2587.30774000465,2652.6041326959,2.12345228435333,0.998596141269445,5.3471358093293
,24,3444.21996465379,3018.18649169621,3182.91729848538,3889.03841497479,3591.58446250416,4004.32794087433,3161.03914546523,3604.17577876238,3538.39539719446,2487.83005322957,2411.74550406276,2616.29097032682,2272.05015796571,2105.46893557772,3022.9635197557,3313.09094225481,2325.47323274295,2443.18976566549,5198.16006980646,5636.538572281,5021.22662262616,867.423235066884,677.285363828799,677.009538355759,4346.07068659636,4832.40122357499,4574.45301532176,3962.96664073455,3895.16588822338,3998.30268206643,3523.67805670029,3665.2906876385,3984.98499858626,3633.44382711916,4008.96251573163,2954.09108991817,3090.05126259372,3551.53015888824,3289.04399541093,3019.50986716527,2792.21172088816,3714.74212263603,4133.99592746042,4151.50022594721,4265.4591914185,-4.62868495250495,5.08997472271676,0.194917010076097
,25,5219.30171650088,4747.40547729844,4989.43156677046,5763.16628222948,5501.96692452773,5844.02350831403,4935.14228375662,5520.47651368722,5346.4871110472,3979.96642648147,3897.84050890996,4240.88086383038,3718.12476969868,3504.66643371906,4669.75731016043,5061.51454740994,3830.62900797217,3941.1210026182,6830.73018699701,7235.72550904187,6744.61175240551,1606.2682334905,1297.92729952183,1304.32197417553,6314.9815531662,7010.56026511949,6640.53867105587,5967.89922200241,5806.81053294113,5947.44272429167,5361.9621898934,5526.68577229608,5992.23951485317,5615.5967124316,6171.22322284268,4793.29323211108,4800.95309527096,5288.97341581171,5106.99871272158,4754.10303161994,4456.06171681603,5677.87525742818,6086.98843432238,5954.28121696223,6113.4194340827,-6.62724108354905,-1.74374574116246,-0.492684676720273
,26,6867.86054089945,6518.91841480518,6843.75646217733,7417.07804462302,7315.3980278996,7515.85093968114,6729.82174659255,7354.46206701923,7029.33772039705,5856.54231735884,5745.37261517906,6046.22355253451,5380.85357873529,5224.86105442536,6273.79529428036,6713.60095521801,5604.06399124413,5634.21474447716,8217.54718578164,8570.08006608475,8228.10919956611,2783.26451189762,2335.30987342833,2338.05717705142,8102.42347238103,8971.22752119285,8506.51039172336,7794.58111819103,7526.50844326356,7680.91976199101,7097.14457979997,7227.58325748912,7829.98790380703,7556.22452282538,8272.41594502579,6850.25384042557,6475.45291460071,6838.94648179885,6900.66906494411,6533.27413254651,6233.54244835589,7534.5968876936,7872.90545797509,7566.71459167703,7760.46892940035,2.0353766924236,-4.81848249223913,-0.336592281758385
,27,8276.84448190389,8080.48437740582,8470.51109273442,8817.21381388687,8880.91328057445,8897.94697259775,8316.52328162658,8949.69146797454,8482.74479503885,7713.83786851037,7647.39342136191,7686.44582248955,6839.37281069924,6795.26041026611,7663.980807413,8134.88442365318,7188.65198540168,7068.08017295172,9235.03327109745,9510.38061825043,9338.81136276244,4389.98363134679,3872.81174502614,3860.76563004554,9561.76765496419,10550.9691442806,10022.0094101666,9351.29862907809,8984.76900230388,9149.55684669663,8590.69367436673,8683.00967489967,9396.347023263,9237.21624554305,10086.8771770034,8708.23859476169,7923.18090544401,8146.7428816225,8449.24258122706,8092.52356316349,7820.81905671513,9134.5358055079,9342.74752213859,8854.45787506936,9065.1630483692,-3.31328811506046,-4.63394439443982,-4.37432111497037
,28,9308.00525224304,9281.45901908939,9713.15440619675,9813.0025083453,10040.6460153821,9879.17199333679,9528.65647785916,10140.58009009,9541.60295791662,9406.36565351659,9353.34122402039,9006.40796334905,8058.54722530193,8125.52998441333,8704.8787709159,9190.56267364896,8521.68117417023,8263.06185678891,9877.52415923812,10087.080395631,10062.9845350417,6127.27854127843,5829.15531046693,5814.47756762989,10596.1651376594,11647.7592877075,11077.7541652001,10477.508761126,10032.9122577891,10199.3430746222,9694.96803511769,9747.98403779932,10533.8199593536,10498.1452632137,11436.2726214013,10199.8051908388,9017.56582680915,9088.95455943108,9618.23338235541,9295.01451976196,9080.2756210092,10328.825426078,10391.0886299865,9738.11048643035,9960.6792501141,-13.3039843239358,-6.47427776919176,-4.02455992575051
,29,9961.75378307285,10086.1757262044,10543.2920130044,10427.5237885203,10790.2044620071,10483.2347891301,10345.394787262,10917.0824625103,10222.4632226746,10779.5552601153,10740.4665187243,9936.14546275019,8920.19881531897,9088.85523266865,9381.05301252512,9873.91922747068,9482.64720733403,9102.61675999462,10219.297249463,10374.0205401019,10460.2526502345,7656.20754965092,7592.25050881021,7487.36362179861,11220.6717827642,12297.5716418785,11710.7896417186,11180.8853820103,10680.4798761522,10853.8049529884,10408.1029588567,10421.7954164773,11247.9336075905,11314.2024103799,12306.732897905,11238.116267553,9733.32967459401,9674.82327044109,10379.7126562721,10105.583181599,9947.4868045238,11097.9911003574,11034.5395711646,10262.0780193394,10481.1976787931,-5.68090130603014,-3.21420590506386,-0.071297859650258
,30,10302.4939740264,10529.3647249902,11003.3877049238,10731.3338850913,11186.5746919907,10778.8039369667,10793.1299961539,11327.900657416,10572.2715493767,11759.5737838871,11716.5344396678,10486.3986459817,9423.56001591584,9669.99976710636,9731.14068218043,10228.158862464,10053.3311653474,9586.29878326741,10348.1039907296,10478.4334791366,10623.1681194985,8842.26079940912,9096.92333040116,8907.22490694836,11516.8855927465,12596.2058916885,12006.3857457803,11524.1283690767,10991.0785186616,11166.6260595014,10774.9825195642,10761.1518850626,11598.4805906914,11739.6027390073,12757.4369611712,11836.61503877,10122.8403162053,9971.49074381662,10796.3952237924,10560.7934407274,10452.2909312814,11502.6575368173,11357.9321804774,10505.4343025154,10724.7272014994,-6.93922073070553,-4.42024660721745,1.03262507798354
,31,10442.7619073641,10728.3636120201,11218.5776604988,10855.7950232362,11359.2291309285,10908.3526952625,11007.9395790745,11510.3650122153,10739.1918708752,12406.9875218557,12349.2198756351,10752.762806687,9675.61264052466,9965.94676747198,9884.24921268618,10379.0365461635,10347.4414699102,9823.436781613,10400.2906290727,10507.8612360917,10690.7077278326,9651.03254559172,10203.6508527523,9946.00553817159,11622.3634883852,12699.2328160504,12118.3945824164,11659.4742287934,11112.738982026,11286.9865672177,10930.9318004665,10900.7856227564,11738.1074494347,11918.9320422739,12951.4527138457,12124.0355159667,10284.3163124282,10085.852531655,10969.3842304293,10762.524159871,10686.3447187452,11671.8085448636,11476.8808312721,10593.0454949144,10801.7336353023,-5.76933150496006,-2.88303656009339,-1.13981542607053
,32,10482.5905098552,10789.0454768821,11282.7243509239,10887.3115449117,11406.9975263094,10950.1346672981,11074.16646887,11564.1808920247,10792.5669839525,12771.3292127718,12688.0516148749,10846.1686475067,9764.53619231174,10072.5403167016,9926.03363864335,10419.5159880842,10455.9141059688,9903.51897147667,10412.6301446448,10515.221752724,10712.2604973558,10109.0619859391,10888.1930344783,10600.8079218114,11648.2249585678,12719.360049159,12151.5223456111,11694.2732698138,11145.1306479474,11315.4743148005,10978.3737468621,10941.887578774,11776.232178176,11973.0453963867,13009.666868911,12224.9347476756,10328.1551032171,10112.5908395566,11014.1278201416,10822.4218344873,10766.8549946784,11720.844745293,11503.2276149605,10611.8684806674,10818.98174214,1.68365008245928,-4.11683958949197,-5.20485604789246
,33,10492.8533378835,10806.6931477978,11304.5428102278,10895.302180528,11419.0638356072,10974.2673084296,11100.2992544181,11581.2658769902,10818.8003600039,12976.4854682624,12870.6478240429,10873.6854656279,9803.63963662756,10109.4992326148,9943.72627286783,10438.3274191951,10496.4969372451,9939.10815139475,10428.4937017755,10525.3240104014,10737.9898990839,10320.6596265299,11235.8499227392,10935.3735030028,11655.3486181963,12725.0875447485,12167.9331822208,11710.0951442946,11161.4881033081,11329.4496261027,10999.5929075907,10960.7356403855,11796.5012063439,11998.2060176617,13032.4089804121,12259.3461610234,10338.7089335204,10117.714487603,11021.9639322759,10836.8778688447,10789.2345760276,11738.7236377228,11505.2994396939,10621.4764576686,10823.8218109136,10.8964997941748,1.44332160289377,-2.23831676203918
,34,10495.0539623674,10811.816775138,11308.9659764133,10896.1163075691,11419.2287076267,10980.5588909488,11104.3288031033,11587.2915701826,10831.6073678734,13102.1793616795,12976.5117136133,10885.2822785534,9810.35813078922,10110.7767200352,9939.95503797772,10438.5581134247,10503.7056274688,9949.86385205459,10426.9487195694,10528.3330278254,10741.595938448,10393.2274949572,11368.9247782862,11067.6399359324,11653.6006375896,12725.8432360733,12177.8206230575,11708.2521251575,11162.9874895857,11335.638713737,11006.117237006,10965.9641813188,11803.2745156687,12002.2885351896,13037.4857342159,12267.0893165446,10341.147249821,10118.375138995,11023.5355970889,10845.9454355242,10795.7006528869,11744.2646992368,11508.0056429513,10624.334244098,10823.5429864503,32.3725361921242,9.52621303402611,-2.93706524774007
